7964.27,23.2,4.4,-982.9,16.66,19.61,23.54,26.53,30.25,34.88,48.14,283.07,13760.6,210,140,0,0,350,0,0,0,0,50,0
8947.45,19.1,0.9,-982.9,16.66,19.61,23.54,26.53,30.25,36.27,48.14,294.92,13760.6,210,150,0,330,0,0,0,0,10,50,0
7436.4,20.9,3.9,-982.9,16.66,26.5,30.25,34.88,39.12,48.14,56.58,273.76,13760.6,210,250,100,50,0,0,0,90,0,50,1
6936.4,19.3,4.9,-982.9,16.66,26.5,27.08,30.25,39.12,48.14,56.58,273.76,13760.6,210,200,100,50,0,0,0,140,0,50,1
7912.12,21.3,5.1,-982.9,16.66,26.5,27.08,30.25,39.12,48.14,56.58,273.76,13760.6,210,250,100,50,0,0,0,90,0,50,0
7833.01,22.7,5.1,-982.9,16.66,26.5,30.25,34.88,39.12,48.14,56.58,273.76,13760.6,210,280,100,80,0,0,0,0,30,50,0
7969.6,21.7,4.7,-982.9,16.66,26.5,30.25,34.88,39.12,48.14,56.58,273.76,13760.6,210,280,100,80,0,0,0,0,30,50,0
7976.93,23,4.1,-982.9,16.66,26.5,30.25,34.88,39.12,48.14,56.58,273.76,13760.6,210,300,125,65,0,0,0,0,0,50,0
8058.31,24.8,5.2,-982.9,16.66,26.5,30.25,34.88,39.12,48.14,56.56,273.76,13760.6,210,0,270,210,0,0,10,0,0,50,0
7271.07,23.4,5,-982.9,16.66,26.5,30.25,34.88,39.12,48.14,56.56,273.76,13760.6,210,0,210,210,0,0,0,0,70,50,1
6707.41,19.5,5.2,-982.9,16.66,26.5,30.25,34.88,39.12,49.13,56.56,273.76,13760.6,210,0,90,0,0,0,0,0,400,50,1
7727.59,21.4,5.3,-982.9,16.66,26.5,30.25,34.88,39.12,48.14,56.56,273.76,13760.6,210,0,280,210,0,0,0,0,0,50,0
8140.66,19.4,3.1,-982.9,16.66,26.5,30.25,34.88,39.12,48.14,56.56,273.76,13760.6,210,0,280,210,0,0,0,0,0,50,0
8156.31,24.9,3.5,-982.9,16.66,26.5,30.25,34.88,39.12,48.14,56.56,273.76,13760.6,210,70,200,160,0,0,0,60,0,50,0
7881.29,22.8,5,-982.9,16.66,26.5,30.25,34.88,39.12,49.13,56.56,273.76,13760.6,210,70,170,200,0,0,50,0,0,50,0
7740.14,22.7,4.8,-982.9,16.66,26.5,30.25,34.88,39.12,49.13,56.56,273.76,13760.6,210,70,300,90,30,0,0,0,0,50,0
7074.79,22.6,5.2,-982.9,16.66,27.04,30.25,34.88,39.12,46.93,56.56,273.76,13760.6,210,0,300,190,0,0,0,0,0,50,1
7941.77,18.1,1.1,-982.9,16.66,19.61,23.54,26.53,30.25,36.27,48.14,294.92,13760.6,210,0,300,190,0,0,0,0,0,50,1
7809.01,21.7,5.7,-982.9,16.66,27.04,30.25,34.88,39.12,46.93,56.56,273.76,13760.6,210,0,350,140,0,0,0,0,0,50,0
7733.56,21.5,5.4,-982.9,16.66,27.04,30.25,34.88,39.12,46.93,56.56,273.76,13760.6,280,420,0,0,0,0,0,0,0,50,0
8374.9,22.3,3.4,-982.9,16.66,27.04,30.25,34.88,39.12,46.93,56.56,273.76,13760.6,210,70,420,0,0,0,0,0,0,50,0
8157.61,19.7,3.7,-982.9,16.66,27.04,30.25,34.88,39.12,46.93,56.56,273.76,13760.6,210,80,410,0,0,0,0,0,0,50,0
7929.62,19.3,5,-982.9,16.66,27.04,30.25,34.88,39.12,46.93,56.56,273.76,13760.6,210,80,410,0,0,0,0,0,0,50,0
6933.68,22.2,6,-982.9,16.66,27.04,30.25,34.88,39.12,46.93,56.56,273.76,13760.6,210,70,70,350,0,0,0,0,0,50,1
6840.58,20.8,2.7,-982.9,16.66,27.04,30.25,34.88,39.12,46.93,56.56,273.76,13760.6,210,70,70,350,0,0,0,0,0,50,1
7613.46,19.2,6,-982.9,16.66,27.04,30.25,34.88,39.12,46.93,56.56,273.76,13760.6,210,70,420,0,0,0,0,0,0,50,0
7665.98,23.3,5.6,-982.9,16.66,27.04,30.25,34.88,39.12,46.93,56.56,273.76,13760.6,210,70,420,0,0,0,0,0,0,50,0
7475.09,20.1,6.1,-982.9,16.66,26.06,30.25,36.25,39.12,47.92,56.56,273.76,13760.6,210,70,420,0,0,0,0,0,0,50,0
8264.67,23.5,2.6,-982.9,16.66,26.06,30.25,36.25,39.12,47.92,56.56,273.76,13760.6,210,70,380,40,0,0,0,0,0,50,0
7977.11,20.2,4.9,-982.9,16.66,26.06,30.25,36.25,39.12,48.83,58.97,283.59,13760.6,210,70,380,40,0,0,0,0,0,50,0
6783.4,22.5,6.4,-982.9,16.66,26.06,30.25,36.25,39.12,48.83,58.97,283.59,13760.6,210,0,0,0,0,0,50,0,440,50,1
6386.39,26.6,6.4,-982.9,16.66,26.06,30.25,36.25,39.12,48.83,58.97,283.59,13760.6,210,0,0,0,40,0,0,0,450,50,1
6769.32,27,5,-982.9,16.66,26.06,30.25,36.25,39.12,48.83,58.97,283.59,13760.6,210,0,0,0,0,0,40,0,450,50,0
7435.99,24.5,6.5,-982.9,16.66,26.06,30.25,36.25,39.12,48.83,58.97,283.59,13760.6,210,0,0,0,20,20,60,20,370,50,0
7367.18,24.2,6.6,-982.9,16.66,26.06,30.25,36.25,39.12,48.83,58.97,283.59,13760.6,210,0,0,0,20,20,60,20,370,50,0
7494.72,28.9,6.4,-982.9,16.66,26.06,30.25,36.25,39.12,48.83,58.97,283.59,13760.6,210,0,0,0,20,20,60,20,370,50,0
